date,confirmed,deaths,recovered,region
2020-03-22,191,0,8,Москва
2020-03-23,262,0,9,Москва
2020-03-24,290,0,9,Москва
2020-03-25,410,0,14,Москва
2020-03-26,546,2,15,Москва
2020-03-27,703,3,18,Москва
2020-03-28,817,4,18,Москва
2020-03-29,1014,6,28,Москва
2020-03-30,1226,6,28,Москва
2020-03-31,1613,11,70,Москва
2020-04-01,1880,16,115,Москва
2020-04-02,2475,19,140,Москва
2020-04-03,2923,20,168,Москва
2020-04-04,3357,27,194,Москва
2020-04-05,3893,29,198,Москва
2020-04-06,4484,29,206,Москва
2020-04-07,5181,31,222,Москва
2020-04-08,5841,31,270,Москва
2020-04-09,6698,38,313,Москва
2020-04-10,7822,50,350,Москва
2020-04-11,8852,58,499,Москва
2020-04-12,10158,72,687,Москва
2020-04-13,11513,82,837,Москва
2020-04-14,13002,95,1016,Москва
2020-04-15,14776,106,1205,Москва
2020-04-16,16146,113,1394,Москва
2020-04-17,18105,127,1517,Москва
2020-04-18,20754,148,1679,Москва
2020-04-19,24324,176,1763,Москва
2020-04-20,26350,204,1838,Москва
2020-04-21,29433,233,2057,Москва
2020-04-22,31981,261,2267,Москва
2020-04-23,33940,288,2448,Москва
2020-04-24,36897,325,2735,Москва
2020-04-25,39509,366,3047,Москва
2020-04-26,42480,404,3175,Москва
2020-04-27,45351,435,3524,Москва
2020-04-28,48426,479,4130,Москва
2020-04-29,50646,546,4610,Москва
2020-04-30,53739,611,5135,Москва
2020-05-01,57300,658,5766,Москва
2020-05-02,62658,695,6374,Москва
2020-05-03,68606,729,7029,Москва
2020-05-04,74401,764,7573,Москва
2020-05-05,80115,816,7870,Москва
2020-05-06,85973,866,8458,Москва
2020-05-07,92676,905,9227,Москва
2020-05-08,98522,956,10259,Москва
2020-05-09,104189,1010,12779,Москва
2020-05-10,109740,1068,13790,Москва
2020-05-11,115909,1124,17822,Москва
2020-05-12,121301,1179,19642,Москва
2020-05-13,126004,1232,21506,Москва
2020-05-14,130716,1290,23327,Москва
2020-05-15,135464,1358,24562,Москва
2020-05-16,138969,1432,26032,Москва
2020-05-17,142824,1503,27490,Москва
2020-05-18,146062,1580,28913,Москва
2020-05-19,149607,1651,31496,Москва
2020-05-20,152306,1726,36936,Москва
2020-05-21,155219,1794,40682,Москва
2020-05-22,158207,1867,43582,Москва
2020-05-23,161397,1934,47413,Москва
2020-05-24,163913,1993,49840,Москва
2020-05-25,166473,2034,53586,Москва
2020-05-26,169303,2110,61619,Москва
2020-05-27,171443,2183,67458,Москва
2020-05-28,173497,2254,71251,Москва
2020-05-29,175829,2330,74725,Москва
2020-05-30,178196,2408,78324,Москва
2020-05-31,180791,2477,80179,Москва
2020-06-01,183088,2553,82239,Москва
2020-06-02,185374,2624,88269,Москва
2020-06-03,187216,2685,91654,Москва
2020-06-04,189214,2749,94715,Москва
2020-06-05,191069,2806,97358,Москва
2020-06-06,193061,2864,100431,Москва
2020-06-07,195017,2919,102714,Москва
2020-06-08,197018,2970,104347,Москва
2020-06-09,198590,3029,109737,Москва
2020-06-10,199785,3085,113533,Москва
2020-06-11,201221,3138,115769,Москва
2020-06-12,202935,3187,118024,Москва
2020-06-13,204428,3231,119558,Москва
2020-06-14,205905,3281,121691,Москва
2020-06-15,207264,3334,123240,Москва
2020-06-16,208680,3386,126114,Москва
2020-06-17,209745,3434,128385,Москва
2020-06-18,210785,3483,130431,Москва
2020-06-19,211921,3531,132434,Москва
2020-06-20,212978,3565,134549,Москва
2020-06-21,213946,3597,135556,Москва
2020-06-22,215014,3617,136670,Москва
2020-06-23,216095,3643,139248,Москва
2020-06-24,216906,3657,141268,Москва
2020-06-25,217791,3669,142194,Москва
2020-06-26,218604,3694,144191,Москва
2020-06-27,219354,3714,146043,Москва
2020-06-28,220071,3738,147095,Москва
2020-06-29,220853,3761,148102,Москва
2020-06-30,221598,3796,150397,Москва
2020-07-01,222209,3831,152193,Москва
2020-07-02,222871,3870,153248,Москва
2020-07-03,223530,3904,154839,Москва
2020-07-04,224210,3929,156459,Москва
2020-07-05,224860,3953,157020,Москва
2020-07-06,225545,3975,157652,Москва
2020-07-07,226174,3999,159718,Москва
2020-07-08,226795,4027,160913,Москва
2020-07-09,227363,4059,162086,Москва
2020-07-10,228000,4087,163093,Москва
2020-07-11,228678,4116,164095,Москва
2020-07-12,229357,4143,164560,Москва
2020-07-13,230029,4168,164954,Москва
2020-07-14,230642,4205,165966,Москва
2020-07-15,231270,4234,167810,Москва
2020-07-16,231801,4258,168955,Москва
2020-07-17,232376,4271,169637,Москва
2020-07-18,232954,4285,170180,Москва
2020-07-19,233545,4299,170539,Москва
2020-07-20,234123,4314,170918,Москва
2020-07-21,234725,4331,171771,Москва
2020-07-22,235363,4350,172939,Москва
2020-07-23,235971,4364,173392,Москва
